"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3515","testDigestAuthentication","Suite","Tue Jul 29 01:27:02 IST 2025","passed","Tue Jul 29 01:27:05 IST 2025","api.test.AuthenticationTests","Test","api.test.AuthenticationTests","testDigestAuthentication"
"","418","testOAuth2","Suite1","Thu Jul 24 16:06:06 IST 2025","passed","Thu Jul 24 16:06:06 IST 2025","api.test.AuthTests","Tests","api.test.AuthTests","testOAuth2"
"","2612","testCreateAndDeleteUser","Suite","Tue Jul 29 01:26:54 IST 2025","failed","Tue Jul 29 01:26:56 IST 2025","api.test.DataDrivenTest","Test","api.test.DataDrivenTest","testCreateAndDeleteUser"
"","9740","CreateUser","Suite","Fri Jul 25 17:47:59 IST 2025","passed","Fri Jul 25 17:48:09 IST 2025","api.test.Chaining_createUser","ChainingTests","api.test.Chaining_createUser","CreateUser"
"","240","deleteUserTest","Suite","Tue Jul 29 01:27:08 IST 2025","passed","Tue Jul 29 01:27:08 IST 2025","api.test.DeleteUserChainingTest","Test","api.test.DeleteUserChainingTest","deleteUserTest"
"","22","readUserTest","Suite","Tue Jul 29 01:26:43 IST 2025","broken","Tue Jul 29 01:26:43 IST 2025","api.test.ReadUserChainingTest","Test","api.test.ReadUserChainingTest","readUserTest"
"","740","updateUser","Suite","Fri Jul 25 17:48:10 IST 2025","passed","Fri Jul 25 17:48:11 IST 2025","api.test.Chaining_UpdateUser","ChainingTests","api.test.Chaining_UpdateUser","updateUser"
"","454","testBearerToken","Suite1","Thu Jul 24 16:06:05 IST 2025","passed","Thu Jul 24 16:06:06 IST 2025","api.test.AuthTests","Tests","api.test.AuthTests","testBearerToken"
"","493","testOAuth2Authentication","Suite","Tue Jul 29 01:27:07 IST 2025","passed","Tue Jul 29 01:27:08 IST 2025","api.test.AuthenticationTests","Test","api.test.AuthenticationTests","testOAuth2Authentication"
"","221","testAPIKeyAuthentication","Suite","Tue Jul 29 01:27:08 IST 2025","passed","Tue Jul 29 01:27:08 IST 2025","api.test.AuthenticationTests","Test","api.test.AuthenticationTests","testAPIKeyAuthentication"
"","1326","testPreemptiveBasicAuth","Suite1","Thu Jul 24 16:06:04 IST 2025","passed","Thu Jul 24 16:06:05 IST 2025","api.test.AuthTests","Tests","api.test.AuthTests","testPreemptiveBasicAuth"
"","345","testDeserializationToStudentPOJO","Suite","Tue Jul 29 01:26:59 IST 2025","broken","Tue Jul 29 01:26:59 IST 2025","api.test.SerilizationDeseriliztionTest","Test","api.test.SerilizationDeseriliztionTest","testDeserializationToStudentPOJO"
"","117","testJsonPathApproach2","Suite","Tue Jul 29 01:27:10 IST 2025","passed","Tue Jul 29 01:27:10 IST 2025","api.test.JsonPathTests","Test","api.test.JsonPathTests","testJsonPathApproach2"
"","251","convertPOJOtoJson","Suite1","Thu Jul 24 16:05:45 IST 2025","passed","Thu Jul 24 16:05:45 IST 2025","api.test.SerilizationDeserlizationTest","Tests","api.test.SerilizationDeserlizationTest","convertPOJOtoJson"
"","1163","testDeleteUserByName","Default suite","Mon Jul 28 20:55:43 IST 2025","failed","Mon Jul 28 20:55:44 IST 2025","api.test.DataDrivenTest","Default test","api.test.DataDrivenTest","testDeleteUserByName"
"","5227","testCreateUser","Default suite","Mon Jul 28 20:55:35 IST 2025","failed","Mon Jul 28 20:55:40 IST 2025","api.test.DataDrivenTest","Default test","api.test.DataDrivenTest","testCreateUser"
"","2739","testCreateAndDeleteUser","Suite","Tue Jul 29 01:26:51 IST 2025","passed","Tue Jul 29 01:26:54 IST 2025","api.test.DataDrivenTest","Test","api.test.DataDrivenTest","testCreateAndDeleteUser"
"","2","f","Suite","Tue Jul 29 00:23:35 IST 2025","passed","Tue Jul 29 00:23:35 IST 2025","api.test.NewTest","Test","api.test.NewTest","f"
"","1228","testDeleteUserByName","Suite","Tue Jul 29 01:26:58 IST 2025","passed","Tue Jul 29 01:26:59 IST 2025","api.test.DataDrivenTest","Test","api.test.DataDrivenTest","testDeleteUserByName"
"","1178","testCreateUser","Default suite","Tue Jul 29 00:59:39 IST 2025","passed","Tue Jul 29 00:59:40 IST 2025","api.test.DataDrivenTest","Default test","api.test.DataDrivenTest","testCreateUser"
"","3522","testPostUser","Suite1","Thu Jul 24 16:05:47 IST 2025","passed","Thu Jul 24 16:05:51 IST 2025","api.test.DataDrivenTest","Tests","api.test.DataDrivenTest","testPostUser"
"","213","testJsonPathApproach1","Suite","Tue Jul 29 01:27:09 IST 2025","passed","Tue Jul 29 01:27:10 IST 2025","api.test.JsonPathTests","Test","api.test.JsonPathTests","testJsonPathApproach1"
"","1245","deleteUser","Suite","Fri Jul 25 17:48:11 IST 2025","passed","Fri Jul 25 17:48:12 IST 2025","api.test.Chaining_deleteUser","ChainingTests","api.test.Chaining_deleteUser","deleteUser"
"","1313","CreateUser","Suite","Fri Jul 25 17:48:09 IST 2025","passed","Fri Jul 25 17:48:10 IST 2025","api.test.Chaining_readUser","ChainingTests","api.test.Chaining_readUser","CreateUser"
"","1212","testDeleteUserByName","Default suite","Mon Jul 28 20:55:42 IST 2025","passed","Mon Jul 28 20:55:43 IST 2025","api.test.DataDrivenTest","Default test","api.test.DataDrivenTest","testDeleteUserByName"
"","1236","testCreateUser","Default suite","Mon Jul 28 20:55:41 IST 2025","failed","Mon Jul 28 20:55:42 IST 2025","api.test.DataDrivenTest","Default test","api.test.DataDrivenTest","testCreateUser"
"","2240","testBasicAuthentication","Suite","Tue Jul 29 01:27:00 IST 2025","passed","Tue Jul 29 01:27:02 IST 2025","api.test.AuthenticationTests","Test","api.test.AuthenticationTests","testBasicAuthentication"
